postal_code,Population,Median Age,Household Income,Per Capita Income,Number of Males,Number of Females
10958,3030.0,42.1,105845.0,32499.0,1685.0,1345.0
10960,15476.0,38.4,78750.0,45312.0,7752.0,7724.0
10962,6166.0,46.1,109786.0,36470.0,3128.0,3038.0
10963,4260.0,40.1,74583.0,18898.0,3019.0,1241.0
10964,1791.0,48.3,94750.0,41856.0,911.0,880.0
10965,14794.0,41.2,94271.0,41517.0,7073.0,7721.0
10968,2302.0,54.0,91343.0,67623.0,867.0,1435.0
10969,1674.0,43.3,79643.0,36621.0,913.0,761.0
10970,9670.0,41.8,74397.0,37268.0,4069.0,5601.0
10973,2789.0,41.6,83636.0,32251.0,1457.0,1332.0
10974,3149.0,39.5,87241.0,38384.0,1587.0,1562.0
10975,238.0,55.9,58077.0,46391.0,106.0,132.0
10976,2134.0,42.1,40675.0,24210.0,739.0,1395.0
10977,60293.0,28.1,60549.0,20124.0,29998.0,30295.0
10979,174.0,45.3,68352.0,31561.0,129.0,45.0
10980,13440.0,43.8,94709.0,39217.0,6451.0,6989.0
10983,5537.0,44.8,126875.0,50010.0,2591.0,2946.0
10984,3317.0,42.5,112016.0,39093.0,1664.0,1653.0
10985,13.0,-666666666.0,-666666666.0,,6.0,7.0
10986,2103.0,37.7,106932.0,48634.0,1051.0,1052.0
10987,3364.0,43.7,100369.0,55896.0,1646.0,1718.0
10988,819.0,35.5,70547.0,25936.0,415.0,404.0
10989,9868.0,48.1,100982.0,41499.0,4663.0,5205.0
10990,20139.0,43.7,84110.0,42206.0,10327.0,9812.0
10992,9839.0,44.3,91083.0,35287.0,4752.0,5087.0
10993,4678.0,36.8,67750.0,25767.0,2217.0,2461.0
10994,7206.0,41.2,129519.0,48340.0,3305.0,3901.0
10996,7013.0,20.9,98555.0,20447.0,5095.0,1918.0
10998,2759.0,43.7,101121.0,38182.0,1360.0,1399.0
11001,27001.0,41.3,101634.0,40753.0,12998.0,14003.0
11003,43739.0,36.5,85672.0,27888.0,20296.0,23443.0
11004,14500.0,40.9,81709.0,35334.0,6728.0,7772.0
11005,2055.0,81.1,64300.0,76670.0,744.0,1311.0
11010,24394.0,41.7,87644.0,34542.0,11586.0,12808.0
11020,6370.0,44.8,128309.0,58937.0,3109.0,3261.0
11021,17467.0,46.1,93258.0,60692.0,7972.0,9495.0
11023,9870.0,41.3,106729.0,47246.0,4989.0,4881.0
11024,7555.0,40.6,97383.0,45650.0,4038.0,3517.0
11030,17372.0,44.8,172266.0,88800.0,8351.0,9021.0
11040,40231.0,44.5,101434.0,39729.0,19666.0,20565.0
11042,544.0,82.1,-666666666.0,16851.0,197.0,347.0
11050,30666.0,41.5,105828.0,59576.0,15259.0,15407.0
11096,8276.0,32.4,48538.0,20403.0,4004.0,4272.0
11101,25537.0,34.0,47142.0,30040.0,12661.0,12876.0
11102,34529.0,32.3,49924.0,28108.0,17565.0,16964.0
11103,37745.0,34.9,55129.0,31345.0,19142.0,18603.0
11104,25729.0,37.3,56059.0,31953.0,12012.0,13717.0
11105,36190.0,35.3,57525.0,33537.0,18099.0,18091.0
11106,36869.0,36.5,48720.0,30809.0,18293.0,18576.0
11109,3524.0,31.6,125871.0,90065.0,1936.0,1588.0
11201,54668.0,35.2,95369.0,68814.0,26994.0,27674.0
11203,79572.0,38.3,48400.0,22227.0,35351.0,44221.0
11204,80963.0,33.6,45472.0,20161.0,40426.0,40537.0
11205,43002.0,29.3,44688.0,26114.0,20758.0,22244.0
11206,81525.0,28.5,28559.0,15618.0,39562.0,41963.0
11207,92491.0,30.7,32945.0,15951.0,41316.0,51175.0
11208,93107.0,30.5,35079.0,14870.0,43320.0,49787.0
11209,72623.0,39.0,58261.0,35712.0,33867.0,38756.0
11210,65302.0,34.9,55429.0,25079.0,30511.0,34791.0
11211,93271.0,29.7,46848.0,27752.0,46187.0,47084.0
11212,84520.0,31.9,28348.0,16535.0,34878.0,49642.0
11213,62059.0,32.8,34794.0,18522.0,28108.0,33951.0
11214,83156.0,40.0,43398.0,22683.0,40527.0,42629.0
11215,68891.0,34.5,95654.0,56340.0,33426.0,35465.0
11216,53783.0,34.8,43996.0,27218.0,25270.0,28513.0
11217,38787.0,34.9,81862.0,51846.0,18261.0,20526.0
11218,74758.0,32.7,52445.0,24081.0,36514.0,38244.0
11219,96971.0,28.1,34316.0,14567.0,48925.0,48046.0
11220,103089.0,32.4,37580.0,16263.0,53376.0,49713.0
11221,81321.0,31.6,39178.0,18774.0,37745.0,43576.0
11222,34186.0,33.7,63739.0,39515.0,16478.0,17708.0
11223,74606.0,38.7,41328.0,22514.0,35957.0,38649.0
11224,42535.0,47.3,27481.0,20666.0,18866.0,23669.0
11225,59182.0,33.8,42922.0,22519.0,26387.0,32795.0
11226,98325.0,33.8,40734.0,20721.0,44409.0,53916.0
11228,43929.0,40.2,61893.0,29885.0,21810.0,22119.0
11229,81030.0,40.8,51725.0,26575.0,38425.0,42605.0
11230,84219.0,34.7,42170.0,23051.0,40774.0,43445.0
11231,34137.0,35.3,78174.0,48757.0,16120.0,18017.0
11232,28824.0,31.6,43595.0,19172.0,16126.0,12698.0
11233,68599.0,33.4,34492.0,19859.0,30379.0,38220.0
11234,94259.0,38.4,68431.0,29482.0,44198.0,50061.0
11235,74630.0,44.5,41639.0,28133.0,34695.0,39935.0
11236,97217.0,37.1,61061.0,24394.0,43496.0,53721.0
11237,55478.0,29.1,40372.0,17134.0,28461.0,27017.0
11238,51895.0,34.5,65315.0,40055.0,24285.0,27610.0
11239,12879.0,43.4,26275.0,18494.0,4756.0,8123.0
11351,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,0.0
11354,56258.0,43.2,46566.0,23925.0,27046.0,29212.0
11355,83221.0,40.9,41884.0,20505.0,39595.0,43626.0
11356,23037.0,37.2,58465.0,25815.0,11482.0,11555.0
